Jour,ID mall,Entrées,Exceptionnel,Centre commercial,Unnamed: 2,Periode,Impact
2023-10-15,11,2668.0,Gulli tour,NICE LINGOSTIERE,3.0,21.0,6.053223388305847
2023-10-16,10,10757.0,Atelier enfant semaine du goût,MONTESSON,3.0,1.0,1.6826252672678257
2023-10-18,10,10289.0,Animation Carrefour Barbie,MONTESSON,3.0,2.0,-7.192146953056662
2023-10-18,37,14398.0,BELVEDERE MARQUETTE,BAY2,4.0,1.0,-4.389498541464092
2023-10-19,37,12461.0,ATELIER ENFANTS,BAY2,3.0,1.0,-6.668806676831715
2023-10-22,38,3062.0,GULLI,BAB2,3.0,2.0,48.69366427171783
2023-10-23,10,10305.0,Théâtre de Guignol,MONTESSON,3.0,1.0,-11.984473556525959
2023-10-25,11,14731.0,Keemia jeu,NICE LINGOSTIERE,3.0,2.0,-1.126875296992736
2023-10-25,37,14973.0,GABBY,BAY2,3.0,2.0,-7.349896480331262
2023-10-25,47,9034.0,GULLI,CLAIRA SALANCA,3.0,17.0,-5.053132610139474
2023-10-26,38,16274.0,TOURNEE DES HEROS SPiDERMAN,BAB2,3.0,1.0,56.83912990045471
2023-10-26,38,16274.0,OP flux : MEET & GREET PAT ' PATROUILLE 1J,LANGUEUX,3.0,1.0,56.83912990045471
2023-10-29,19,328.0,Animateur micro BF,LANGUEUX,3.0,2.0,0.0
2023-10-30,10,12323.0,Meet&Greet Pat Patrouille,MONTESSON,3.0,1.0,17.25229246125132
2023-10-30,37,16699.0,ATELIERS ENFANTS,BAY2,3.0,1.0,17.596862087550154
2023-10-30,47,12114.0,Véhicules Pat Patrouille,CLAIRA SALANCA,3.0,1.0,22.403830279016017
2023-10-31,37,16645.0,ATELIERS ENFANTS,BAY2,3.0,1.0,19.597476719735656
2023-11-02,10,10114.0,Mascottes Spider Man,MONTESSON,3.0,1.0,-5.185880957089183
2023-11-02,37,14109.0,ATELIERS ENFANTS,BAY2,3.0,1.0,53.73166064214332
2023-11-02,37,14109.0,OP FLUX / EVENT : MIRACULOUS,BAY2,3.0,1.0,53.73166064214332
2023-11-06,10,10089.0,Meet&Greet Miraculous,MONTESSON,3.0,1.0,-7.329765090692833
2023-11-09,10,10009.0,Rencontre un Champion,MONTESSON,4.0,1.0,5.015486062543711
2023-11-09,11,11374.0,Rencontre un Champion,NICE LINGOSTIERE,4.0,1.0,-7.640232108317216
2023-11-09,37,12454.0,OP FLUX / EVENT : PAT PATROUILLE,BAY2,3.0,1.0,-61.3216637224988
2023-11-09,38,12575.0,SHOW CASE,BAB2,4.0,1.0,42.067594433399606
2023-11-09,38,12575.0,Rencontre un Champion,BAB2,4.0,1.0,42.067594433399606
2023-11-15,10,10283.0,Gabby Chat,MONTESSON,3.0,2.0,-2.844500632111252
2023-11-16,11,11109.0,Rencontre un Champion,NICE LINGOSTIERE,4.0,1.0,-5.932127104149789
2023-11-16,37,11964.0,ATELIERS ENFANTS,BAY2,3.0,1.0,-8.324974924774322
2023-11-16,38,12526.0,MEET & GREAT MIRACULOUS,BAB2,3.0,1.0,-53.46080153281175
2023-11-16,47,8008.0,Rencontre un Champion,CLAIRA SALANCA,4.0,1.0,-6.01898101898102
2023-11-19,10,3455.0,Mardi malin,MONTESSON,3.0,1.0,-73.63241678726483
2023-11-23,20,5167.0,Belvédère Bougies de Charroux,CHOLET,6.0,1.0,1.287013741048965
2023-11-23,47,9027.0,Paddington,CLAIRA SALANCA,3.0,1.0,8.125623130608176
2023-12-02,53,19640.0, PHOTO DU PN,ANTIBES,5.0,20.0,3.3757637474541755
2023-12-07,37,14229.0,ATELIERS ENFANTS,BAY2,3.0,1.0,0.1370440649378031
2023-12-11,37,15416.0,ATELIERS ENFANTS,BAY2,3.0,1.0,1.6670991177996883
2023-12-14,19,11988.0,Heures magiques,LANGUEUX,3.0,1.0,-9.013179846513179
2023-12-18,37,17193.0,ATELIERS ENFANTS,BAY2,3.0,1.0,54.8362705752341
2023-12-21,19,15115.0,Heures magiques,LANGUEUX,3.0,1.0,9.679126695335759
2024-12-14,20,13010.0,Les heures magiques,CHOLET,3.0,1.0,-0.5764796310530361
2024-12-21,20,13773.0,Les heures magiques,CHOLET,3.0,1.0,16.877223553328978
